"Country","iso3","Year","control","Progress","Aspirational","Business as usual","p_change","a_change","aroc","model","wb2021","location","ref","asp","reach_base","refwsalt","aspwsalt","reach_75","reach_975","aroc2","p_change2","a_change2","ideal"
"Brunei Darussalam","BRN",2017,0.285977034664862,0.285977034664862,0.285977034664862,0.285977034664862,0,0,0,"3","HIC","Brunei",0,0,Inf,2032,2027,2036,2028,0,0,0,0
"Brunei Darussalam","BRN",2018,0.294204986818789,0.294204986818789,0.294204986818789,0.294204986818789,0,0,0,"3","HIC","Brunei",0,0,Inf,2032,2027,2036,2028,0,0,0,0
"Brunei Darussalam","BRN",2019,0.302717405590588,0.302717405590588,0.302717405590588,0.302717405590588,0,0,0,"3","HIC","Brunei",0,0,Inf,2032,2027,2036,2028,0,0,0,0
"Bulgaria","BGR",2017,0.216218643259528,0.216218643259528,0.216218643259528,0.216218643259528,0,0,0,"5","UMIC","Bulgaria",0,0,Inf,2034,2028,2038,2030,0,0,0,0
"Bulgaria","BGR",2018,0.224154328833494,0.224154328833494,0.224154328833494,0.224154328833494,0,0,0,"5","UMIC","Bulgaria",0,0,Inf,2034,2028,2038,2030,0,0,0,0
"Bulgaria","BGR",2019,0.232559986919397,0.232559986919397,0.232559986919397,0.232559986919397,0,0,0,"5","UMIC","Bulgaria",0,0,Inf,2034,2028,2038,2030,0,0,0,0
"Burkina Faso","BFA",2017,0.0730666206387113,0.0730666206387113,0.0730666206387113,0.0730666206387113,0,0,0,"9","LIC","Burkina Faso",0,0,Inf,2043,2036,2045,2036,0,0,0,0
"Burkina Faso","BFA",2018,0.078929963217214,0.078929963217214,0.078929963217214,0.078929963217214,0,0,0,"9","LIC","Burkina Faso",0,0,Inf,2043,2036,2045,2036,0,0,0,0
"Burkina Faso","BFA",2019,0.0853791348899123,0.0853791348899123,0.0853791348899123,0.0853791348899123,0,0,0,"9","LIC","Burkina Faso",0,0,Inf,2043,2036,2045,2036,0,0,0,0
"Burundi","BDI",2017,0.094708431145645,0.094708431145645,0.094708431145645,0.094708431145645,0,0,0,"8","LIC","Burundi",0,0,Inf,2041,2034,2043,2034,0,0,0,0
"Burundi","BDI",2018,0.103235923804827,0.103235923804827,0.103235923804827,0.103235923804827,0,0,0,"8","LIC","Burundi",0,0,Inf,2041,2034,2043,2034,0,0,0,0
"Burundi","BDI",2019,0.112493727857028,0.112493727857028,0.112493727857028,0.112493727857028,0,0,0,"8","LIC","Burundi",0,0,Inf,2041,2034,2043,2034,0,0,0,0
"Cabo Verde","CPV",2017,0.12692698705059,0.12692698705059,0.12692698705059,0.12692698705059,0,0,0,"9","LMIC","Cape Verde",0,0,Inf,2039,2032,2042,2033,0,0,0,0
"Cabo Verde","CPV",2018,0.13327498497263,0.13327498497263,0.13327498497263,0.13327498497263,0,0,0,"9","LMIC","Cape Verde",0,0,Inf,2039,2032,2042,2033,0,0,0,0
"Cabo Verde","CPV",2019,0.14001510716326,0.14001510716326,0.14001510716326,0.14001510716326,0,0,0,"9","LMIC","Cape Verde",0,0,Inf,2039,2032,2042,2033,0,0,0,0
"Cambodia","KHM",2017,0.202893999247423,0.202893999247423,0.202893999247423,0.202893999247423,0,0,0,"6","LMIC","Cambodia",0,0,Inf,2036,2030,2039,2030,0,0,0,0
"Cambodia","KHM",2018,0.208760729070576,0.208760729070576,0.208760729070576,0.208760729070576,0,0,0,"6","LMIC","Cambodia",0,0,Inf,2036,2030,2039,2030,0,0,0,0
